cn509
Google Earth Engine API initialized successfully.
The reference layer has been downloaded with the first image from the GEE archive.
Start downloading the HLS data from 2013-04-11 to 2024-12-31:
000000000/000000052 L30_T18SUH_20130726T154825
000000001/000000052 L30_T18SUH_20140307T154701
000000002/000000052 L30_T18SUH_20140915T154635
000000003/000000052 L30_T18SUH_20150404T153938
000000004/000000052 L30_T18SUH_20150911T154010
000000005/000000052 L30_T18SUH_20160413T154602
000000006/000000052 L30_T18SUH_20161006T154643
000000007/000000052 L30_T18SUH_20170324T153953
000000008/000000052 L30_T18SUH_20171002T154030
000000009/000000052 L30_T18SUH_20180419T154542
000000010/000000052 L30_T18SUH_20181028T154621
000000011/000000052 L30_T18SUH_20190524T154606
000000012/000000052 L30_T18SUH_20191202T154646
000000013/000000052 L30_T18SUH_20200706T154005
000000014/000000052 L30_T18SUH_20210206T154633
000000015/000000052 L30_T18SUH_20210817T154636
000000016/000000052 L30_T18SUH_20220117T154028
000000017/000000052 L30_T18SUH_20220423T154004
000000018/000000052 L30_T18SUH_20220720T154010
000000019/000000052 L30_T18SUH_20221015T154653
000000020/000000052 L30_T18SUH_20230204T154656
000000021/000000052 L30_T18SUH_20230511T154605
000000022/000000052 L30_T18SUH_20230816T154012
000000023/000000052 L30_T18SUH_20231119T154641
000000024/000000052 L30_T18SUH_20240303T154026
000000025/000000052 L30_T18SUH_20240725T153940
000000026/000000052 L30_T18SUJ_20130624T154759
000000027/000000052 L30_T18SUJ_20140118T154711
000000028/000000052 L30_T18SUJ_20140729T154559
000000029/000000052 L30_T18SUJ_20150310T154541
000000030/000000052 L30_T18SUJ_20150817T154546
000000031/000000052 L30_T18SUJ_20160321T153938
000000032/000000052 L30_T18SUJ_20160904T154615
000000033/000000052 L30_T18SUJ_20170227T154555
000000034/000000052 L30_T18SUJ_20170907T154609
000000035/000000052 L30_T18SUJ_20180318T154535
000000036/000000052 L30_T18SUJ_20180926T154545
000000037/000000052 L30_T18SUJ_20190501T153941
000000038/000000052 L30_T18SUJ_20191109T154014
000000039/000000052 L30_T18SUJ_20200611T154539
000000040/000000052 L30_T18SUJ_20210114T154003
000000041/000000052 L30_T18SUJ_20210716T154558
000000042/000000052 L30_T18SUJ_20211223T154621
000000043/000000052 L30_T18SUJ_20220414T154553
000000044/000000052 L30_T18SUJ_20220711T154552
000000045/000000052 L30_T18SUJ_20220930T154030
000000046/000000052 L30_T18SUJ_20230112T154017
000000047/000000052 L30_T18SUJ_20230426T153922
000000048/000000052 L30_T18SUJ_20230807T154554
000000049/000000052 L30_T18SUJ_20231104T154004
000000050/000000052 L30_T18SUJ_20240215T154606
000000051/000000052 L30_T18SUJ_20240802T153928
Google Earth Engine API initialized successfully.
The reference layer has been downloaded with the first image from the GEE archive.
Start downloading the HLS data from 2013-04-11 to 2024-12-31:
000000004/000000030 S30_T18SUH_20171207T155629
000000005/000000030 S30_T18SUH_20190307T155111
000000006/000000030 S30_T18SUH_20200801T155911
000000007/000000030 S30_T18SUH_20230604T154941
000000008/000000030 S30_T18SUH_20230823T154821
000000009/000000030 S30_T18SUH_20231027T155249
000000010/000000030 S30_T18SUH_20240105T155639
000000011/000000030 S30_T18SUH_20240318T155859
000000012/000000030 S30_T18SUH_20240603T154819
000000013/000000030 S30_T18SUH_20240726T155819
000000014/000000030 S30_T18SUH_20240921T154849
000000015/000000030 S30_T18SUJ_20160620T160132
000000016/000000030 S30_T18SUJ_20161117T160132
000000017/000000030 S30_T18SUJ_20170608T161221
000000018/000000030 S30_T18SUJ_20170921T155929
000000019/000000030 S30_T18SUJ_20171217T155639
000000020/000000030 S30_T18SUJ_20190529T155911
000000021/000000030 S30_T18SUJ_20200410T154901
000000022/000000030 S30_T18SUJ_20230604T154941
000000023/000000030 S30_T18SUJ_20230813T154941
000000024/000000030 S30_T18SUJ_20231022T155311
000000025/000000030 S30_T18SUJ_20231219T160659
000000026/000000030 S30_T18SUJ_20240305T155029
000000027/000000030 S30_T18SUJ_20240524T154809
000000028/000000030 S30_T18SUJ_20240718T154931
000000029/000000030 S30_T18SUJ_20240911T154809
